# Task -> workBranch mapping
# timestamp: 2026-02-15T02:51:49Z
M4-T01	codex/MAMBO-m3-002-stage-split-earth-system-first
M4-T02	codex/MAMBO-m3-003-scorelayers-artifact-and-score-ops
M4-T03	codex/MAMBO-m3-004-plan-ice-deterministic
M4-T04	codex/MAMBO-m3-005-plan-reefs-deterministic
M4-T05	codex/MAMBO-m3-006-plan-wetlands-deterministic
M4-T06	codex/MAMBO-m3-007-plan-vegetation-deterministic
M4-T07	codex/MAMBO-m3-008-stamping-strict-features-apply
M4-T08	codex/MAMBO-m3-009-cleanup-delete-legacy-chance
M4-T09	codex/MAMBO-m3-010-post-cutover-cleanup
M4-T10	codex/MAMBO-m3-011-canonical-docs-sweep
M4-T11	codex/MAMBO-m3-012-fix-biomes-stripes
M4-T12	codex/MAMBO-m3-014-lakes-not-filled
M4-T13	codex/MAMBO-m3-013-bio-lat-cutoff
M4-T14	codex/M3-015-hydrology-effectiveMoisture-soils
M4-T15	codex/default-config-intent-tuning
M4-T16	codex/MAMBO-lakes-resources-waterfill-rootcause
M4-T17	codex/MAMBO-elevation-terrain-parity-audit
M4-T18	codex/MAMBO-resources-stamping-rootcause
M4-T19	codex/MAMBO-elevation-post-hydrology-lifecycle
M4-T20	codex/prr-epp-s0-plan-bootstrap
M4-T21	codex/prr-epp-s1-drift-observability
M4-T22	codex/prr-epp-s2-ecology-physics-cutover
M4-T23	codex/prr-epp-s3-lakes-deterministic
M4-T24	codex/prr-epp-s3b-lakes-regression-fix
M4-T25	codex/prr-epp-s4-resources-deterministic
M4-T26	codex/prr-epp-s5-placement-randomness-zero
M4-T27	codex/prr-epp-s6-hardening-docs-tests
